Milliseconds ago,r_asn
-47668864,209
-47296451,1239
-46924038,1312
-46551625,2152
-46179212,3561
-45806799,4134
-45434386,4181
-45061973,4323
-44689560,6432
-44317147,6478
-43944734,7018
-43572321,7132
-43199908,7377
-42827495,8560
-42455082,9506
-42082669,11414
-41710256,15169
-41337843,16572
-40965430,16912
-40593017,17225
-40220604,17233
-39848191,19181
-39475778,19918
-39103365,29863
-38730952,30099
-38358539,33260
-37986126,33651
-37613713,1257
-37241300,3301
-36868887,4134
-36496474,6478
-36124061,7132
-35751648,9318
-35379235,4134
-35006822,4323
-34634409,7132
-34261996,22855
-33889583,31976
-33517170,33651
-33144757,205
-32772344,1257
-32399931,2152
-32027518,3561
-31655105,4134
-31282692,6478
-30910279,7132
-30537866,8070
-30165453,8075
-29793040,9318
-29420627,13867
-29048214,1257
-28675801,4134
-28303388,4812
-27930975,4837
-27558562,6478
-27186149,7132
-26813736,8342
-26441323,9318
-26068910,17672
-25696497,3
-25324084,209
-24951671,1239
-24579258,1257
-24206845,2152
-23834432,3561
-23462019,3701
-23089606,6395
-22717193,6478
-22344780,8070
-21972367,8075
-21599954,8560
-21227541,9156
-20855128,10565
-20482715,10933
-20110302,12182
-19737889,12222
-19365476,13733
-18993063,13911
-18620650,15169
-18248237,17210
-17875824,17225
-17503411,18924
-17130998,19535
-16758585,21844
-16386172,22152
-16013759,23504
-15641346,30222
-15268933,786
-14896520,1257
-14524107,2900
-14151694,2914
-13779281,3561
-13406868,3701
-13034455,4323
-12662042,6478
-12289629,8070
-11917216,10437
-11544803,15169
-11172390,22152
-10799977,23719
-10427564,102
-10055151,209
-9682738,1668
-9310325,2152
-8937912,2914
-8565499,3561
-8193086,4182
-7820673,5779
-7448260,6318
-7075847,6334
-6703434,6432
-6331021,7018
-5958608,8070
-5586195,8075
-5213782,10565
-4841369,10763
-4468956,10794
-4096543,11944
-3724130,12179
-3351717,12222
-2979304,14780
-2606891,15169
-2234478,19296
-1862065,20461
-1489652,21945
-1117239,25751
-744826,26101
-372413,29748
0,36088
